News_Data,Labelling,Cleaned_News-Data,Tokenized,Tokenized_Stopword,Tokenized_Stopword_Stemmed,Detokenized
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,0,morgan stanley prediksi harga emas bakal tembus segini,"['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'bakal', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'gin']",morgan stanley prediksi harga emas tembus gin
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",-1,pesawat airbus mendarat darurat penumpang dilarikan ke rs,"['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'ke', 'rs']","['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'rs']","['pesawat', 'airbus', 'darat', 'darurat', 'tumpang', 'lari', 'rs']",pesawat airbus darat darurat tumpang lari rs
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,0,ihsg bisa tergelincir di november polanya mirip,"['ihsg', 'bisa', 'tergelincir', 'di', 'november', 'polanya', 'mirip']","['ihsg', 'tergelincir', 'november', 'polanya']","['ihsg', 'gelincir', 'november', 'pola']",ihsg gelincir november pola
Peneliti Asing Ungkap Ada Ancaman Besar di Wilayah RI Ini,-1,peneliti asing ungkap ada ancaman besar di wilayah ri ini,"['peneliti', 'asing', 'ungkap', 'ada', 'ancaman', 'besar', 'di', 'wilayah', 'ri', 'ini']","['peneliti', 'asing', 'ancaman', 'wilayah', 'ri']","['teliti', 'asing', 'ancam', 'wilayah', 'ri']",teliti asing ancam wilayah ri
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,0,cerita menteri keuangan ri dicegat masuk istana gara gara kijang tua,"['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'uang', 'ri', 'cegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']",cerita menteri uang ri cegat masuk istana gara gara kijang tua
"Pertama di Asia Tenggara, Telkomsel & OpenAI Rilis Paket ChatGPT Go",0,pertama di asia tenggara telkomsel openai rilis paket chatgpt go,"['pertama', 'di', 'asia', 'tenggara', 'telkomsel', 'openai', 'rilis', 'paket', 'chatgpt', 'go']","['asia', 'tenggara', 'telkomsel', 'openai', 'rilis', 'paket', 'chatgpt', 'go']","['asia', 'tenggara', 'telkomsel', 'openai', 'rilis', 'paket', 'chatgpt', 'go']",asia tenggara telkomsel openai rilis paket chatgpt go
"Ada 6 Bank Bangkrut di RI, Ini Daftarnya",-1,ada bank bangkrut di ri ini daftarnya,"['ada', 'bank', 'bangkrut', 'di', 'ri', 'ini', 'daftarnya']","['bank', 'bangkrut', 'ri', 'daftarnya']","['bank', 'bangkrut', 'ri', 'daftar']",bank bangkrut ri daftar
"Wanita Ini Telah Hidup 116 Tahun, Rahasianya Bikin Kaget!",1,wanita ini telah hidup tahun rahasianya bikin kaget,"['wanita', 'ini', 'telah', 'hidup', 'tahun', 'rahasianya', 'bikin', 'kaget']","['wanita', 'hidup', 'rahasianya', 'bikin', 'kaget']","['wanita', 'hidup', 'rahasia', 'bikin', 'kaget']",wanita hidup rahasia bikin kaget
"Bukan AI, Para Raksasa Teknologi Panen Cuan dari Sini",0,bukan ai para raksasa teknologi panen cuan dari sini,"['bukan', 'ai', 'para', 'raksasa', 'teknologi', 'panen', 'cuan', 'dari', 'sini']","['ai', 'raksasa', 'teknologi', 'panen', 'cuan']","['ai', 'raksasa', 'teknologi', 'panen', 'cuan']",ai raksasa teknologi panen cuan
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",0,pdip bongkar fakta lama soal kereta cepat whoosh sebut sebut jokowi,"['pdip', 'bongkar', 'fakta', 'lama', 'soal', 'kereta', 'cepat', 'whoosh', 'sebut', 'sebut', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']",pdip bongkar fakta kereta cepat whoosh jokowi
Mau Gaji Naik Tanpa Kuliah Lagi? Kuasai Skill Ini!,1,mau gaji naik tanpa kuliah lagi kuasai skill ini,"['mau', 'gaji', 'naik', 'tanpa', 'kuliah', 'lagi', 'kuasai', 'skill', 'ini']","['gaji', 'kuliah', 'kuasai', 'skill']","['gaji', 'kuliah', 'kuasa', 'skill']",gaji kuliah kuasa skill
Era Baru Gaming Dimulai: AI Akan Kuasai Industri Bernilai Rp3.000 T,0,era baru gaming dimulai ai akan kuasai industri bernilai rp t,"['era', 'baru', 'gaming', 'dimulai', 'ai', 'akan', 'kuasai', 'industri', 'bernilai', 'rp', 't']","['era', 'gaming', 'ai', 'kuasai', 'industri', 'bernilai', 'rp', 't']","['era', 'gaming', 'ai', 'kuasa', 'industri', 'nila', 'rp', 't']",era gaming ai kuasa industri nila rp t
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",0,pdip bongkar fakta lama soal kereta cepat whoosh sebut sebut jokowi,"['pdip', 'bongkar', 'fakta', 'lama', 'soal', 'kereta', 'cepat', 'whoosh', 'sebut', 'sebut', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']",pdip bongkar fakta kereta cepat whoosh jokowi
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,0,cerita menteri keuangan ri dicegat masuk istana gara gara kijang tua,"['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'uang', 'ri', 'cegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']",cerita menteri uang ri cegat masuk istana gara gara kijang tua
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,0,ihsg bisa tergelincir di november polanya mirip,"['ihsg', 'bisa', 'tergelincir', 'di', 'november', 'polanya', 'mirip']","['ihsg', 'tergelincir', 'november', 'polanya']","['ihsg', 'gelincir', 'november', 'pola']",ihsg gelincir november pola
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,0,morgan stanley prediksi harga emas bakal tembus segini,"['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'bakal', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'gin']",morgan stanley prediksi harga emas tembus gin
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",-1,pesawat airbus mendarat darurat penumpang dilarikan ke rs,"['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'ke', 'rs']","['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'rs']","['pesawat', 'airbus', 'darat', 'darurat', 'tumpang', 'lari', 'rs']",pesawat airbus darat darurat tumpang lari rs
Ahli Gizi Jepang Beberkan 5 Buah Bisa Bikin Panjang Umur & Sehat,1,ahli gizi jepang beberkan buah bisa bikin panjang umur sehat,"['ahli', 'gizi', 'jepang', 'beberkan', 'buah', 'bisa', 'bikin', 'panjang', 'umur', 'sehat']","['ahli', 'gizi', 'jepang', 'beberkan', 'buah', 'bikin', 'umur', 'sehat']","['ahli', 'gizi', 'jepang', 'kan', 'buah', 'bikin', 'umur', 'sehat']",ahli gizi jepang kan buah bikin umur sehat
"Warren Buffett Mau Pamit dari Berkshire, Tinggalkan Uang Rp6.240 T",0,warren buffett mau pamit dari berkshire tinggalkan uang rp t,"['warren', 'buffett', 'mau', 'pamit', 'dari', 'berkshire', 'tinggalkan', 'uang', 'rp', 't']","['warren', 'buffett', 'pamit', 'berkshire', 'tinggalkan', 'uang', 'rp', 't']","['warren', 'buffett', 'pamit', 'berkshire', 'tinggal', 'uang', 'rp', 't']",warren buffett pamit berkshire tinggal uang rp t
Megawati Bicara Soal Hubungannya dengan Presiden Prabowo,0,megawati bicara soal hubungannya dengan presiden prabowo,"['megawati', 'bicara', 'soal', 'hubungannya', 'dengan', 'presiden', 'prabowo']","['megawati', 'bicara', 'hubungannya', 'presiden', 'prabowo']","['megawati', 'bicara', 'hubung', 'presiden', 'prabowo']",megawati bicara hubung presiden prabowo
"Tingkatkan Kualitas Layanan, Pertamina Ajak Diskusi Komunitas Otomotif",1,tingkatkan kualitas layanan pertamina ajak diskusi komunitas otomotif,"['tingkatkan', 'kualitas', 'layanan', 'pertamina', 'ajak', 'diskusi', 'komunitas', 'otomotif']","['tingkatkan', 'kualitas', 'layanan', 'pertamina', 'ajak', 'diskusi', 'komunitas', 'otomotif']","['tingkat', 'kualitas', 'layan', 'pertamina', 'ajak', 'diskusi', 'komunitas', 'otomotif']",tingkat kualitas layan pertamina ajak diskusi komunitas otomotif
"Presiden Korsel Minta Tolong Xi Jinping Soal Kim Jong-un, Bilang Gini",0,presiden korsel minta tolong xi jinping soal kim jong un bilang gini,"['presiden', 'korsel', 'minta', 'tolong', 'xi', 'jinping', 'soal', 'kim', 'jong', 'un', 'bilang', 'gini']","['presiden', 'korsel', 'tolong', 'xi', 'jinping', 'kim', 'jong', 'un', 'bilang', 'gini']","['presiden', 'korsel', 'tolong', 'xi', 'jinping', 'kim', 'jong', 'un', 'bilang', 'gin']",presiden korsel tolong xi jinping kim jong un bilang gin
"Marak Orang Kaya Jepang Ambil Langkah ""Tabu"", Ekonomi Terancam Panas",0,marak orang kaya jepang ambil langkah tabu ekonomi terancam panas,"['marak', 'orang', 'kaya', 'jepang', 'ambil', 'langkah', 'tabu', 'ekonomi', 'terancam', 'panas']","['marak', 'orang', 'kaya', 'jepang', 'ambil', 'langkah', 'tabu', 'ekonomi', 'terancam', 'panas']","['marak', 'orang', 'kaya', 'jepang', 'ambil', 'langkah', 'tabu', 'ekonomi', 'ancam', 'panas']",marak orang kaya jepang ambil langkah tabu ekonomi ancam panas
Siap-Siap La Nina Datang. Begini Dampaknya di Musim Hujan RI,-1,siap siap la nina datang begini dampaknya di musim hujan ri,"['siap', 'siap', 'la', 'nina', 'datang', 'begini', 'dampaknya', 'di', 'musim', 'hujan', 'ri']","['la', 'nina', 'dampaknya', 'musim', 'hujan', 'ri']","['la', 'nina', 'dampak', 'musim', 'hujan', 'ri']",la nina dampak musim hujan ri
"Termasuk Ikan Napoleon Bibir Tebal, Senjata Vitalitas Pria Ini Ada RI",0,termasuk ikan napoleon bibir tebal senjata vitalitas pria ini ada ri,"['termasuk', 'ikan', 'napoleon', 'bibir', 'tebal', 'senjata', 'vitalitas', 'pria', 'ini', 'ada', 'ri']","['ikan', 'napoleon', 'bibir', 'tebal', 'senjata', 'vitalitas', 'pria', 'ri']","['ikan', 'napoleon', 'bibir', 'tebal', 'senjata', 'vitalitas', 'pria', 'ri']",ikan napoleon bibir tebal senjata vitalitas pria ri
"Mentan Amran-Ketua MPR Turun Sidak Kios Pupuk, Begini Hasil Temuannya",0,mentan amran ketua mpr turun sidak kios pupuk begini hasil temuannya,"['mentan', 'amran', 'ketua', 'mpr', 'turun', 'sidak', 'kios', 'pupuk', 'begini', 'hasil', 'temuannya']","['mentan', 'amran', 'ketua', 'mpr', 'turun', 'sidak', 'kios', 'pupuk', 'hasil', 'temuannya']","['tan', 'amran', 'ketua', 'mpr', 'turun', 'sidak', 'kios', 'pupuk', 'hasil', 'temu']",tan amran ketua mpr turun sidak kios pupuk hasil temu
"2.817 Warga Korea Tewas Bunuh Diri Tahun 2024, Ini Umur-Penyebabnya",-1,warga korea tewas bunuh diri tahun ini umur penyebabnya,"['warga', 'korea', 'tewas', 'bunuh', 'diri', 'tahun', 'ini', 'umur', 'penyebabnya']","['warga', 'korea', 'tewas', 'bunuh', 'umur', 'penyebabnya']","['warga', 'korea', 'tewas', 'bunuh', 'umur', 'sebab']",warga korea tewas bunuh umur sebab
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",0,pdip bongkar fakta lama soal kereta cepat whoosh sebut sebut jokowi,"['pdip', 'bongkar', 'fakta', 'lama', 'soal', 'kereta', 'cepat', 'whoosh', 'sebut', 'sebut', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']",pdip bongkar fakta kereta cepat whoosh jokowi
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,0,cerita menteri keuangan ri dicegat masuk istana gara gara kijang tua,"['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'uang', 'ri', 'cegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']",cerita menteri uang ri cegat masuk istana gara gara kijang tua
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,0,ihsg bisa tergelincir di november polanya mirip,"['ihsg', 'bisa', 'tergelincir', 'di', 'november', 'polanya', 'mirip']","['ihsg', 'tergelincir', 'november', 'polanya']","['ihsg', 'gelincir', 'november', 'pola']",ihsg gelincir november pola
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,0,morgan stanley prediksi harga emas bakal tembus segini,"['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'bakal', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'gin']",morgan stanley prediksi harga emas tembus gin
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",-1,pesawat airbus mendarat darurat penumpang dilarikan ke rs,"['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'ke', 'rs']","['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'rs']","['pesawat', 'airbus', 'darat', 'darurat', 'tumpang', 'lari', 'rs']",pesawat airbus darat darurat tumpang lari rs
"Magang Digaji Batch II Dibuka, Hampir 2.000 Perusahaan Ikut Daftar",1,magang digaji batch ii dibuka hampir perusahaan ikut daftar,"['magang', 'digaji', 'batch', 'ii', 'dibuka', 'hampir', 'perusahaan', 'ikut', 'daftar']","['magang', 'digaji', 'batch', 'ii', 'dibuka', 'perusahaan', 'daftar']","['magang', 'gaji', 'batch', 'ii', 'buka', 'usaha', 'daftar']",magang gaji batch ii buka usaha daftar
Potret Demo Besar Ribuan Mahasiswa-Petani Naik Traktor Guncang Serbia,0,potret demo besar ribuan mahasiswa petani naik traktor guncang serbia,"['potret', 'demo', 'besar', 'ribuan', 'mahasiswa', 'petani', 'naik', 'traktor', 'guncang', 'serbia']","['potret', 'demo', 'ribuan', 'mahasiswa', 'petani', 'traktor', 'guncang', 'serbia']","['potret', 'demo', 'ribu', 'mahasiswa', 'tani', 'traktor', 'guncang', 'serbia']",potret demo ribu mahasiswa tani traktor guncang serbia
"RI Siaga 1! BMKG Ingatkan Ancaman Badai Mirip Seroja, La Nina OTW",-1,ri siaga bmkg ingatkan ancaman badai mirip seroja la nina otw,"['ri', 'siaga', 'bmkg', 'ingatkan', 'ancaman', 'badai', 'mirip', 'seroja', 'la', 'nina', 'otw']","['ri', 'siaga', 'bmkg', 'ingatkan', 'ancaman', 'badai', 'seroja', 'la', 'nina', 'otw']","['ri', 'siaga', 'bmkg', 'ingat', 'ancam', 'badai', 'seroja', 'la', 'nina', 'otw']",ri siaga bmkg ingat ancam badai seroja la nina otw
"Apa Itu Badai Melissa di Jamaika, Kenapa Bisa Picu Malapetaka Dahsyat?",0,apa itu badai melissa di jamaika kenapa bisa picu malapetaka dahsyat,"['apa', 'itu', 'badai', 'melissa', 'di', 'jamaika', 'kenapa', 'bisa', 'picu', 'malapetaka', 'dahsyat']","['badai', 'melissa', 'jamaika', 'picu', 'malapetaka', 'dahsyat']","['badai', 'melissa', 'jamaika', 'picu', 'malapetaka', 'dahsyat']",badai melissa jamaika picu malapetaka dahsyat
"Megathrust Intai RI-Petaka Banjir Mengancam, Siapkan Tas Siaga Bencana",-1,megathrust intai ri petaka banjir mengancam siapkan tas siaga bencana,"['megathrust', 'intai', 'ri', 'petaka', 'banjir', 'mengancam', 'siapkan', 'tas', 'siaga', 'bencana']","['megathrust', 'intai', 'ri', 'petaka', 'banjir', 'mengancam', 'siapkan', 'tas', 'siaga', 'bencana']","['megathrust', 'intai', 'ri', 'petaka', 'banjir', 'ancam', 'siap', 'tas', 'siaga', 'bencana']",megathrust intai ri petaka banjir ancam siap tas siaga bencana
"23 Juta Orang Nunggak, Berapa Iuran BPJS Kesehatan Berlaku 1 November?",-1,juta orang nunggak berapa iuran bpjs kesehatan berlaku november,"['juta', 'orang', 'nunggak', 'berapa', 'iuran', 'bpjs', 'kesehatan', 'berlaku', 'november']","['juta', 'orang', 'nunggak', 'iuran', 'bpjs', 'kesehatan', 'berlaku', 'november']","['juta', 'orang', 'nunggak', 'iur', 'bpjs', 'sehat', 'laku', 'november']",juta orang nunggak iur bpjs sehat laku november
Kredit KB Bank Tumbuh Double Digit di Kuartal III-2025,1,kredit kb bank tumbuh double digit di kuartal ii,"['kredit', 'kb', 'bank', 'tumbuh', 'double', 'digit', 'di', 'kuartal', 'ii']","['kredit', 'kb', 'bank', 'tumbuh', 'double', 'digit', 'kuartal', 'ii']","['kredit', 'kb', 'bank', 'tumbuh', 'double', 'digit', 'kuartal', 'ii']",kredit kb bank tumbuh double digit kuartal ii
"Dari AC Hingga Kulkas, Aneka Elektronik Banting Harga di Transmart",0,dari ac hingga kulkas aneka elektronik banting harga di transmart,"['dari', 'ac', 'hingga', 'kulkas', 'aneka', 'elektronik', 'banting', 'harga', 'di', 'transmart']","['ac', 'kulkas', 'aneka', 'elektronik', 'banting', 'harga', 'transmart']","['ac', 'kulkas', 'aneka', 'elektronik', 'banting', 'harga', 'transmart']",ac kulkas aneka elektronik banting harga transmart
"Apa Itu Penyakit Gangguan Genetik MLD yang Harga Obatnya Rp70,5 M?",0,apa itu penyakit gangguan genetik mld yang harga obatnya rp m,"['apa', 'itu', 'penyakit', 'gangguan', 'genetik', 'mld', 'yang', 'harga', 'obatnya', 'rp', 'm']","['penyakit', 'gangguan', 'genetik', 'mld', 'harga', 'obatnya', 'rp', 'm']","['sakit', 'ganggu', 'genetik', 'mld', 'harga', 'obat', 'rp', 'm']",sakit ganggu genetik mld harga obat rp m
"Ada Masalah Apa Sampai Pengusaha-Buruh Mau Datang ""Bertemu"" Purbaya?",0,ada masalah apa sampai pengusaha buruh mau datang bertemu purbaya,"['ada', 'masalah', 'apa', 'sampai', 'pengusaha', 'buruh', 'mau', 'datang', 'bertemu', 'purbaya']","['pengusaha', 'buruh', 'bertemu', 'purbaya']","['usaha', 'buruh', 'temu', 'purbaya']",usaha buruh temu purbaya
"PDIP Bongkar Fakta Lama Soal Kereta Cepat Whoosh, Sebut-Sebut Jokowi",0,pdip bongkar fakta lama soal kereta cepat whoosh sebut sebut jokowi,"['pdip', 'bongkar', 'fakta', 'lama', 'soal', 'kereta', 'cepat', 'whoosh', 'sebut', 'sebut', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']","['pdip', 'bongkar', 'fakta', 'kereta', 'cepat', 'whoosh', 'jokowi']",pdip bongkar fakta kereta cepat whoosh jokowi
Cerita Menteri Keuangan RI Dicegat Masuk Istana Gara-Gara Kijang Tua,0,cerita menteri keuangan ri dicegat masuk istana gara gara kijang tua,"['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'keuangan', 'ri', 'dicegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']","['cerita', 'menteri', 'uang', 'ri', 'cegat', 'masuk', 'istana', 'gara', 'gara', 'kijang', 'tua']",cerita menteri uang ri cegat masuk istana gara gara kijang tua
IHSG Bisa Tergelincir di November! Polanya Mirip 2017 & 2021,0,ihsg bisa tergelincir di november polanya mirip,"['ihsg', 'bisa', 'tergelincir', 'di', 'november', 'polanya', 'mirip']","['ihsg', 'tergelincir', 'november', 'polanya']","['ihsg', 'gelincir', 'november', 'pola']",ihsg gelincir november pola
Morgan Stanley Prediksi Harga Emas Bakal Tembus Segini,0,morgan stanley prediksi harga emas bakal tembus segini,"['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'bakal', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'segini']","['morgan', 'stanley', 'prediksi', 'harga', 'emas', 'tembus', 'gin']",morgan stanley prediksi harga emas tembus gin
"Pesawat Airbus Mendarat Darurat, 15 Penumpang Dilarikan ke RS",-1,pesawat airbus mendarat darurat penumpang dilarikan ke rs,"['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'ke', 'rs']","['pesawat', 'airbus', 'mendarat', 'darurat', 'penumpang', 'dilarikan', 'rs']","['pesawat', 'airbus', 'darat', 'darurat', 'tumpang', 'lari', 'rs']",pesawat airbus darat darurat tumpang lari rs
Peran Pendidikan Global dalam Transformasi Jakarta 2030,1,peran pendidikan global dalam transformasi jakarta,"['peran', 'pendidikan', 'global', 'dalam', 'transformasi', 'jakarta']","['peran', 'pendidikan', 'global', 'transformasi', 'jakarta']","['peran', 'didik', 'global', 'transformasi', 'jakarta']",peran didik global transformasi jakarta
Video: Bankir Bongkar Jurus Jaga Kualitas Kredit - Nasib Kantor Cabang,0,video bankir bongkar jurus jaga kualitas kredit nasib kantor cabang,"['video', 'bankir', 'bongkar', 'jurus', 'jaga', 'kualitas', 'kredit', 'nasib', 'kantor', 'cabang']","['video', 'bankir', 'bongkar', 'jurus', 'jaga', 'kualitas', 'kredit', 'nasib', 'kantor', 'cabang']","['video', 'bankir', 'bongkar', 'jurus', 'jaga', 'kualitas', 'kredit', 'nasib', 'kantor', 'cabang']",video bankir bongkar jurus jaga kualitas kredit nasib kantor cabang
